date,sales
2023-01-01,25.4
2023-01-02,24.57
2023-01-03,24.33
2023-01-04,22.73
2023-01-05,14.86
2023-01-06,15.94
2023-01-07,25.4
2023-01-08,26.98
2023-01-09,24.35
2023-01-10,24.79
2023-01-11,17.54
2023-01-12,14.94
2023-01-13,18.14
2023-01-14,15.69
2023-01-15,20.27
2023-01-16,24.84
2023-01-17,20.89
2023-01-18,20.64
2023-01-19,14.38
2023-01-20,13.94
2023-01-21,26.59
2023-01-22,25.54
2023-01-23,27.49
2023-01-24,20.42
2023-01-25,18.83
2023-01-26,18.21
2023-01-27,15.5
2023-01-28,24.09
2023-01-29,25.18
2023-01-30,27.19
2023-01-31,23.66
2023-02-01,26.79
2023-02-02,18.6
2023-02-03,16.54
2023-02-04,26.2
2023-02-05,24.09
2023-02-06,29.46
2023-02-07,20.36
2023-02-08,18.02
2023-02-09,20.0
2023-02-10,22.7
2023-02-11,25.02
2023-02-12,28.18
2023-02-13,28.7
2023-02-14,22.57
2023-02-15,20.62
2023-02-16,18.8
2023-02-17,24.43
2023-02-18,26.31
2023-02-19,24.0
2023-02-20,31.34
2023-02-21,26.62
2023-02-22,21.51
2023-02-23,22.78
2023-02-24,25.12
2023-02-25,28.84
2023-02-26,27.55
2023-02-27,30.21
2023-02-28,29.54
2023-03-01,27.24
2023-03-02,20.28
2023-03-03,22.24
2023-03-04,23.49
2023-03-05,27.24
2023-03-06,34.35
2023-03-07,33.38
2023-03-08,24.87
2023-03-09,25.5
2023-03-10,24.65
2023-03-11,25.65
2023-03-12,32.69
2023-03-13,37.29
2023-03-14,29.97
2023-03-15,30.55
2023-03-16,15.4
2023-03-17,26.8
2023-03-18,28.61
2023-03-19,31.47
2023-03-20,33.72
2023-03-21,24.89
2023-03-22,25.96
2023-03-23,25.1
2023-03-24,29.54
2023-03-25,27.57
2023-03-26,30.71
2023-03-27,32.71
2023-03-28,34.37
2023-03-29,28.38
2023-03-30,23.21
2023-03-31,27.41
2023-04-01,30.18
2023-04-02,36.82
2023-04-03,32.88
2023-04-04,31.41
2023-04-05,26.98
2023-04-06,21.17
2023-04-07,27.53
2023-04-08,31.44
2023-04-09,34.69
2023-04-10,35.05
2023-04-11,28.91
2023-04-12,27.67
2023-04-13,25.31
2023-04-14,25.0
2023-04-15,30.94
2023-04-16,36.66
2023-04-17,42.18
2023-04-18,34.45
2023-04-19,30.47
2023-04-20,26.88
2023-04-21,22.42
2023-04-22,32.12
2023-04-23,36.4
2023-04-24,44.68
2023-04-25,34.12
2023-04-26,31.37
2023-04-27,27.77
2023-04-28,25.44
2023-04-29,36.4
2023-04-30,39.24
2023-05-01,40.43
2023-05-02,32.74
2023-05-03,35.45
2023-05-04,24.44
2023-05-05,31.48
2023-05-06,40.31
2023-05-07,34.78
2023-05-08,37.13
2023-05-09,36.53
2023-05-10,30.5
2023-05-11,24.76
