date,sales,day_of_week,month,lag_1,lag_7,rolling_mean_7,current_stock,reorder_flag,recommended_order_qty
2023-01-08,26.98,6,1,25.4,25.4,22.115714285714287,173.02,True,74.86746250981108
2023-01-09,24.35,0,1,26.98,24.57,22.084285714285716,148.67000000000002,True,99.21746250981107
2023-01-10,24.79,1,1,24.35,24.33,22.15,123.88,True,124.00746250981109
2023-01-11,17.54,2,1,24.79,22.73,21.408571428571427,106.34,True,141.54746250981108
2023-01-12,14.94,3,1,17.54,14.86,21.419999999999998,91.4,True,156.48746250981108
2023-01-13,18.14,4,1,14.94,15.94,21.734285714285715,73.26,True,174.6274625098111
2023-01-14,15.69,5,1,18.14,25.4,20.34714285714286,57.56999999999999,True,190.3174625098111
2023-01-15,20.27,6,1,15.69,26.98,19.388571428571428,37.29999999999998,True,210.5874625098111
2023-01-16,24.84,0,1,20.27,24.35,19.458571428571428,12.45999999999998,True,235.4274625098111
2023-01-17,20.89,1,1,24.84,24.79,18.90142857142857,-8.430000000000007,True,256.3174625098111
2023-01-18,20.64,2,1,20.89,17.54,19.344285714285714,-29.069999999999993,True,276.9574625098111
2023-01-19,14.38,3,1,20.64,14.94,19.264285714285712,-43.44999999999999,True,291.3374625098111
2023-01-20,13.94,4,1,14.38,18.14,18.664285714285715,-57.389999999999986,True,305.2774625098111
2023-01-21,26.59,5,1,13.94,15.69,20.22142857142857,-83.97999999999996,True,331.86746250981105
2023-01-22,25.54,6,1,26.59,20.27,20.974285714285713,-109.51999999999998,True,357.40746250981107
2023-01-23,27.49,0,1,25.54,24.84,21.352857142857143,-137.01,True,384.8974625098111
2023-01-24,20.42,1,1,27.49,20.89,21.285714285714285,-157.43,True,405.3174625098111
2023-01-25,18.83,2,1,20.42,20.64,21.027142857142856,-176.26,True,424.1474625098111
2023-01-26,18.21,3,1,18.83,14.38,21.574285714285715,-194.46999999999997,True,442.35746250981106
2023-01-27,15.5,4,1,18.21,13.94,21.79714285714286,-209.96999999999997,True,457.85746250981106
2023-01-28,24.09,5,1,15.5,26.59,21.44,-234.05999999999995,True,481.94746250981103
2023-01-29,25.18,6,1,24.09,25.54,21.388571428571428,-259.23999999999995,True,507.12746250981104
2023-01-30,27.19,0,1,25.18,27.49,21.345714285714287,-286.42999999999995,True,534.3174625098111
2023-01-31,23.66,1,1,27.19,20.42,21.80857142857143,-310.09,True,557.9774625098111
2023-02-01,26.79,2,2,23.66,18.83,22.945714285714285,-336.88,True,584.7674625098111
2023-02-02,18.6,3,2,26.79,18.21,23.00142857142857,-355.48,True,603.367462509811
2023-02-03,16.54,4,2,18.6,15.5,23.150000000000002,-372.02,True,619.907462509811
2023-02-04,26.2,5,2,16.54,24.09,23.451428571428572,-398.22,True,646.1074625098111
2023-02-05,24.09,6,2,26.2,25.18,23.29571428571429,-422.31000000000006,True,670.1974625098112
2023-02-06,29.46,0,2,24.09,27.19,23.619999999999997,-451.7700000000001,True,699.6574625098112
2023-02-07,20.36,1,2,29.46,23.66,23.148571428571426,-472.1300000000001,True,720.0174625098111
2023-02-08,18.02,2,2,20.36,26.79,21.895714285714288,-490.1500000000001,True,738.0374625098111
